0.000000 0.000000 0.000000
-0.012626 2.095331 0.005794
-2.026225 0.632505 0.973013
1.048325 2.765351 -0.474221
1.868812 2.157373 -0.842142
1.114247 4.155290 -0.509034
1.994085 4.651235 -0.904156
0.026501 4.877440 -0.021170
0.033482 5.963060 -0.027052
-1.075986 4.188729 0.481709
-1.920983 4.745324 0.868231
-3.384882 2.535241 1.505617
-3.525388 3.608868 1.530463
-4.394150 1.699197 1.979881
-5.312892 2.122817 2.373472
-4.204420 0.319344 1.941992
-4.961194 -0.368843 2.302784
-3.004398 -0.165542 1.428332
-2.809898 -1.232315 1.379045
-1.073577 2.789878 0.485810
-2.204299 1.974417 1.005392
